id,permalink,username,text,date,polarity,pos_w,neu_w,neg_w
1387893355888234500,https://twitter.com/jone_moura/status/1387893355888234500,jone_moura,"Eu tenho muito orgulho de ser filho de mãe trabalhadora de serviços gerais e pai motorista, formado com apoio do FIES, pago certinho minha mensalidade viu Paulo Guedes E para de falar merda. #LulaVemPraRua #LulaPresidente2022",2021-04-29,0.0,0.0,1.0,0.0
1387880220380876802,https://twitter.com/matajoba2010/status/1387880220380876802,matajoba2010,2022 darei um grande abraço no presidente lula eleito#LulaVemPraRua,2021-04-29,-0.296,0.0,0.784,0.216
1387869627158568962,https://twitter.com/MauricioAirolde/status/1387869627158568962,MauricioAirolde,"Eu também, É #LulaPresidente2022

https://t.co/8YgIqXJe0D",2021-04-29,0.0,0.0,1.0,0.0
1387858677105823744,https://twitter.com/Marcelo_Heitor/status/1387858677105823744,Marcelo_Heitor,"Eu votei 13 pra presidente em 98, 2002, 2006, 2010, 2014, 2018 e votarei Lula 13 em 2022 e contando...",2021-04-29,0.0,0.0,1.0,0.0
1387852119315734532,https://twitter.com/dudz_93/status/1387852119315734532,dudz_93,"Enquanto isso em Santa Inês MA, #LulaLivre #LulaPresidente2022 https://t.co/bPlBpUccwl",2021-04-29,0.0,0.0,1.0,0.0
1387849966102667274,https://twitter.com/paulosilvaassi1/status/1387849966102667274,paulosilvaassi1,"#LulaVemPraRua depois que todos os brasileiros forem imunizados! Por enquanto, deixa isso pro gado, que se se contaminarem ou morrerem, não farão a menor falta! #LulaPresidente2022",2021-04-29,0.0,0.0,1.0,0.0
1387819190854291463,https://twitter.com/heldeni3rios/status/1387819190854291463,heldeni3rios,Eu votei no  @LulaOficial  em 1989 e votarei #LulaPresidente2022 https://t.co/PtJTImJPs2,2021-04-29,-0.296,0.0,0.732,0.268
1387818182921146368,https://twitter.com/ErastoFortes/status/1387818182921146368,ErastoFortes,"Com tudo isso, o Zé Simão queria importar o Biden pro Brasil, mas nós não precisamos de intermediários. Vamos na fonte dos programas @LulaOficial #LulaPresidente2022 https://t.co/gfeRwMkKIg",2021-04-29,0.0,0.0,1.0,0.0
1387803235923136515,https://twitter.com/_d3structiv3/status/1387803235923136515,_d3structiv3,Meu sonho de princesa é #LulaPresidente2022 e Bol**nar* na cadeia na sequência,2021-04-29,0.0,0.0,1.0,0.0
1387794010249601029,https://twitter.com/fernandocsc1/status/1387794010249601029,fernandocsc1,"A maior e mais linda pitanga que eu já vi! Plantei esse pé em 2015 com meu filho, a semente deu frutos. E vermelha ... #PT #LulaPresidente2022 https://t.co/Aj5CAijtNv",2021-04-29,0.0,0.0,1.0,0.0
1387732609694904320,https://twitter.com/Paulazzaira/status/1387732609694904320,Paulazzaira,"O RJ foi sugado pela neblina e pelo estado lastimável da Pandemia.
Bom dia camaradas.
#LulaPresidente2022 https://t.co/JL9V1IFMVG",2021-04-29,0.0,0.0,1.0,0.0
1387731153096953857,https://twitter.com/katiarosangel10/status/1387731153096953857,katiarosangel10,"A torcida da outra participante é igual ao atual governo, mimado e não aceita contrariedade. Torça para quem quiser Thelminha.  #GilDoVigor #LulaPresidente2022 #FicaGil #democraciasempre https://t.co/dSlxDtvt8l",2021-04-29,0.0,0.0,1.0,0.0
1387723002322825217,https://twitter.com/dley59/status/1387723002322825217,dley59,"#LulaPresidente2022 

Esperamos que a Sociedade Brasileira VALORIZEM O SEU VOTO E A MANUTENÇÃO DA NOSSA DEMOCRACIA, APARTIR de Novembro de 2022, NA HORA DE VOTAR!!!

Até Janeiro 2023, a SOCIEDADE BRASILEIRA ESTARÁ SAINDO DO REGIME MAIS CRUÉIS DOS ULTIMOS 50 ANOS!

#VoltaPT https://t.co/541Tz7ji0U",2021-04-29,0.0,0.0,1.0,0.0
1387715501896372225,https://twitter.com/Denn1son/status/1387715501896372225,Denn1son,"Bom dia, menos pra quem ajudou a eleger o GENOCIDA.
#LulaPresidente2022 https://t.co/kWDq6vj4bf",2021-04-29,0.0,0.0,1.0,0.0
1387642257638141952,https://twitter.com/dadobarrozo/status/1387642257638141952,dadobarrozo,"Me lembro quando o jingle foi lançado, emocionantes lembranças. 
#LulaPresidente2022 https://t.co/2drTNSheYE",2021-04-29,0.0,0.0,1.0,0.0
1387617408391712768,https://twitter.com/CarlosHBDO/status/1387617408391712768,CarlosHBDO,"O brazil
                                  não
              suporto
  ver
                  o
                               Brasil
                 
                    FELIZ.

A hora do trabalhador vai chegar ✊🏾
#LulaPresidente2022
#globogolpista
#BolsonaroNaCadeia",2021-04-29,0.0,0.0,1.0,0.0
1387616649470255107,https://twitter.com/PenhaCristina6/status/1387616649470255107,PenhaCristina6,"Lula presidente,2022. https://t.co/9d3OIxuacC",2021-04-29,0.0,0.0,1.0,0.0
1387614363574493186,https://twitter.com/PenhaCristina6/status/1387614363574493186,PenhaCristina6,"Lula presidente,2022. https://t.co/rc0Xl6a89m",2021-04-29,0.0,0.0,1.0,0.0
1387591534103646208,https://twitter.com/SoniaReginaRibe/status/1387591534103646208,SoniaReginaRibe,"Inveja eu tenho dos americanos depois desse discurso do Presidente Biden!

#voltalula 
#LulaPresidente2022 #HaddadLula2022",2021-04-29,0.0,0.0,1.0,0.0
1387579516495798273,https://twitter.com/ErastoFortes/status/1387579516495798273,ErastoFortes,"Hoje, faz 17 anos que @LulaOficial assinou decreto criando o SAMU. Cuidado com a saúde, respeito às necessidades do povo. #LulaPresidente2022 https://t.co/BJyE0J08rS",2021-04-29,0.0,0.0,1.0,0.0
1387571633989238790,https://twitter.com/PenhaCristina6/status/1387571633989238790,PenhaCristina6,"Lula presidente,2022. https://t.co/OJfYHKx4P0",2021-04-29,0.0,0.0,1.0,0.0
1387568558184583178,https://twitter.com/PenhaCristina6/status/1387568558184583178,PenhaCristina6,"Lula presidente,2022. https://t.co/4PEafU7PLh",2021-04-29,0.0,0.0,1.0,0.0
1387524656157052935,https://twitter.com/rinaldocobrador/status/1387524656157052935,rinaldocobrador,"Friboi do Lulinha
Heineken do PT
2023 com @LulaOficial  presidente!
Vai ser show!
Dupla perfeita!!
#LulaPresidente2022 https://t.co/uex5FGys3i",2021-04-28,0.0,0.0,1.0,0.0
1387517153822318595,https://twitter.com/MauricioAirolde/status/1387517153822318595,MauricioAirolde,Estamos juntos com #LulaPresidente2022 https://t.co/FgWicQ6wLv,2021-04-28,0.0,0.0,1.0,0.0
1387462498807336965,https://twitter.com/MauricioAirolde/status/1387462498807336965,MauricioAirolde,"Papo reto com #LulaPresidente2022

https://t.co/INgkWwulbl",2021-04-28,0.0,0.0,1.0,0.0
1387457000439693313,https://twitter.com/PenhaCristina6/status/1387457000439693313,PenhaCristina6,"Lula presidente,2022. https://t.co/btydN4sHiK",2021-04-28,0.0,0.0,1.0,0.0
1387456917677674496,https://twitter.com/PenhaCristina6/status/1387456917677674496,PenhaCristina6,"Esse desgoverno, desgraçado, todos que estão lá, merecem cadeia, sim. Esse Guedes vive do dinheiro nosso e desejando á nossa morte, canalha, nojento. Lula presidente,2022. https://t.co/Qi3E5Yun5q",2021-04-28,0.0,0.0,1.0,0.0
1387452935643320325,https://twitter.com/phdavisilva/status/1387452935643320325,phdavisilva,"Pois é presidente, que país é esse? Mas 2022 vem aí. Lula lá. https://t.co/S1E641NFLW",2021-04-28,0.0,0.0,1.0,0.0
1387424921299701760,https://twitter.com/Denn1son/status/1387424921299701760,Denn1son,"A serenidade de quem tá esperando ver a foto do @LulaOficial na urna eletrônica, após apertar o 13 com força.
#LulaPresidente2022 
#LulaElegivel 
#Lula2022 
#ForaBolsonaroGenocida https://t.co/A3sP2AiI4g",2021-04-28,0.0,0.0,1.0,0.0
1387398198084440066,https://twitter.com/MauricioAirolde/status/1387398198084440066,MauricioAirolde,"#LulaPresidente2022
Esse é o caminho. 
https://t.co/FirGmvpAke",2021-04-28,0.0,0.0,1.0,0.0
1387383350432870409,https://twitter.com/BrunaLeo18/status/1387383350432870409,BrunaLeo18,"Achei esse desenho da minha filha de 2019, ela tinha 8 anos, era pra ser Jesus, mas eu vejo outro salvador... @LulaOficial , seria previsão de tempos melhoes?

#LulaPresidente2022 #Lula2022 #lulala #Lula #LulaLivre #lulaelegivel https://t.co/7TRwGQ7nH6",2021-04-28,0.0,0.0,1.0,0.0
1387362934645481477,https://twitter.com/dley59/status/1387362934645481477,dley59,"#LulaPresidente2022

Força Senadores da CPI do GENOCÍDIO!!!

#ForaBolsonaroGenocida 
#ImpeachmentBolsonaro  Já! https://t.co/tlqrxhjuNF",2021-04-28,0.0,0.0,1.0,0.0
1387271509308231681,https://twitter.com/karlakosta_ABL/status/1387271509308231681,karlakosta_ABL,"Hômi vou é dormir, mas antes acender uma vela, pro velho Brizola não vir me aperriar essa noite viu😂😂
#LulaPresidente2022",2021-04-28,0.0,0.0,1.0,0.0
1387251382969765891,https://twitter.com/PenhaCristina6/status/1387251382969765891,PenhaCristina6,"Lula presidente,2022. https://t.co/Sus3rfEsFH",2021-04-28,0.0,0.0,1.0,0.0
1387243770316480513,https://twitter.com/polonortegabs/status/1387243770316480513,polonortegabs,12+1=13 Lula presidente 2022,2021-04-28,0.0,0.0,1.0,0.0
1387233174619578371,https://twitter.com/andrebamonte/status/1387233174619578371,andrebamonte,"Se a Friboi é do Lulinha e a Heineken do PT, o churrasco em 2022 com Lula presidente está garantido.
#Lula2022 #LulaPresidente2022 https://t.co/qG6YMQ1k3t",2021-04-28,0.0,0.0,1.0,0.0
1387228950502514692,https://twitter.com/Paulazzaira/status/1387228950502514692,Paulazzaira,"Vamos pegar mais leve. Estamos todx muito tensos com tudo q vivemos nesse momento.
Resolvam suas desavenças com o coleguinha no privado. Chega de linchamento! Já bastam os bozolóides. 
É hora de união e resistência.✊🚩
#Lula2022 
#LulaPresidente2022
@JanjaLula https://t.co/DsUSOJMGOD",2021-04-28,-0.3595,0.0,0.928,0.072
1387225901000183818,https://twitter.com/SantanaTiago13/status/1387225901000183818,SantanaTiago13,"O dia terminou ouvindo o cara @LulaOficial. Cheio de disposição, pra ajudar o Rio de Janeiro vencer seus desafios. E ser à cidade maravilhosa que nós queremos. #vaidarpt #LulaPresidente2022 https://t.co/OfTEgYwPPf",2021-04-28,0.0,0.0,1.0,0.0
1387203248403193863,https://twitter.com/PenhaCristina6/status/1387203248403193863,PenhaCristina6,"Lula presidente,2022. https://t.co/56bWHD14BP",2021-04-28,0.0,0.0,1.0,0.0
1387202829610373120,https://twitter.com/PenhaCristina6/status/1387202829610373120,PenhaCristina6,"Lula presidente,2022. https://t.co/IRWcZ9UR8I",2021-04-28,0.0,0.0,1.0,0.0
1387201203960954881,https://twitter.com/Marcelo_Heitor/status/1387201203960954881,Marcelo_Heitor,"Se a Friboi é do Lulinha e a Heineken do PT, o churrasco em 2022 com Lula presidente está garantido.
Boa noite pra quem já Lulou!!! ❤️💪🏻👊🏻🚩💫⭐️🌟",2021-04-28,0.0,0.0,1.0,0.0
1387189181324083204,https://twitter.com/MauricioAirolde/status/1387189181324083204,MauricioAirolde,"O Brasil precisa de #LulaPresidente2022

https://t.co/ybiTPsA16t",2021-04-27,0.0,0.0,1.0,0.0
1387165747160489984,https://twitter.com/wesleydealsilva/status/1387165747160489984,wesleydealsilva,"Boa noite família 
PARATUDO O TWITTER HAHAHA
#TercaDetremuraSDV 
#TercaLigaDaJusticaSDV 
#AgoraECiro 
#LulaPresidente2022 https://t.co/iJ3fWd3Rnk",2021-04-27,0.6523,0.325,0.675,0.0
1387119755711156225,https://twitter.com/Jussara32444988/status/1387119755711156225,Jussara32444988,"E o #Oscars vai para
#ForaBolsonaro 
#ForaBolsonaroGenocida
#Lula2022
#LulaPresidente2022
#BolsonaroFacista
#BolsonaroMiliciano
#BolsonaroNaCadeia
#BolsonaroPsicopata
#BolsonaroMiliciano
#BolsonaroCoveiroDoBrasil
#BolsonaroNoTribunalDeHaia
#LulaPresidente
#LulaEsperancaDoBrasil https://t.co/hO4OcmH4wH",2021-04-27,0.0,0.0,1.0,0.0
1387070141477888003,https://twitter.com/FeelipSchneider/status/1387070141477888003,FeelipSchneider,AGORA SIMMM #LulaPresidente2022 https://t.co/14LPHYMiVG,2021-04-27,0.0,0.0,1.0,0.0
1387042570128166921,https://twitter.com/Jussara32444988/status/1387042570128166921,Jussara32444988,"O que não pode
✔Selinho 
✔Bumbum de fora
✔cobrar de quem deve
#ForaBolsonaro 
#ForaBolsonaroGenocida
#Lula2022
#LulaPresidente2022
#BolsonaroFacista
#BolsonaroMiliciano
#LulaPresidente
#LulaEsperancaDoBrasil
#PT
#PTEesquerda
#cpidacovid
#BBB21 
#fiuk 
#gilbbb21 https://t.co/mTnWm7Lrmg",2021-04-27,0.0,0.0,1.0,0.0
1387021629549654022,https://twitter.com/katiarosangel10/status/1387021629549654022,katiarosangel10,"Não podemos deixar esfriar, é luta diária até a eleição.  @LulaOficial #LulaPresidente2022 https://t.co/15MHNrxKV5",2021-04-27,0.0,0.0,1.0,0.0
1386996518318657538,https://twitter.com/Guerreiracomun1/status/1386996518318657538,Guerreiracomun1,"Bom dia companheiras e companheiros! 
Dias melhores virão!
#CONTAGEMMG 
#Direitoavida 
#VacinaParaTodos 
#LulaPresidente2022 https://t.co/RnEFIC0grU",2021-04-27,0.0,0.0,1.0,0.0
1386992814437847041,https://twitter.com/dley59/status/1386992814437847041,dley59,"#LulaPresidente2022

O Nosso Brasil, NÃO AGUENTA MAIS TANTA INEFICIÊNCIA DO GOVERNO FEDERAL DO JAIR BOLSONARO!!!

👉🏿 CADÊ AS VACINAS GOVERNO FEDERAL???
#ForaBolsonaroGenocida https://t.co/nLSzEraMNQ",2021-04-27,0.0,0.0,1.0,0.0
1386925585365094402,https://twitter.com/PenhaCristina6/status/1386925585365094402,PenhaCristina6,"Lula presidente, 2022. Lula é o cara. https://t.co/UsM5sd2UjS",2021-04-27,0.0,0.0,1.0,0.0
